VALOR;UNIDAD;VIGENCIADESDE;VIGENCIAHASTA
4,761.64;COP;22/12/22;22/12/22
4,781.28;COP;20/12/22;20/12/22
4,802.48;COP;17/12/22;19/12/22
4,836.24;COP;13/12/22;13/12/22
4,815.99;COP;10/12/22;12/12/22
4,818.32;COP;7/12/22;7/12/22
4,767.19;COP;3/12/22;5/12/22
4,815.59;COP;1/12/22;1/12/22
4,958.42;COP;22/11/22;22/11/22
5,022.03;COP;18/11/22;18/11/22
4,922.70;COP;17/11/22;17/11/22
4,914.71;COP;10/11/22;10/11/22
5,013.20;COP;9/11/22;9/11/22
5,061.21;COP;5/11/22;8/11/22
4,821.92;COP;28/10/22;28/10/22
4,895.29;COP;27/10/22;27/10/22
4,636.83;COP;15/10/22;18/10/22
4,619.78;COP;14/10/22;14/10/22
4,611.88;COP;12/10/22;12/10/22
4,484.74;COP;5/10/22;5/10/22
4,545.66;COP;4/10/22;4/10/22
4,532.07;COP;30/09/22;30/09/22
4,556.42;COP;28/09/22;28/09/22
4,496.99;COP;27/09/22;27/09/22
4,379.80;COP;23/09/22;23/09/22
4,403.82;COP;22/09/22;22/09/22
4,415.11;COP;20/09/22;20/09/22
4,435.84;COP;17/09/22;19/09/22
4,404.64;COP;16/09/22;16/09/22
4,389.80;COP;15/09/22;15/09/22
4,365.32;COP;10/09/22;12/09/22
4,446.36;COP;8/09/22;8/09/22
4,467.03;COP;2/09/22;2/09/22
4,400.16;COP;31/08/22;31/08/22
4,388.02;COP;27/08/22;29/08/22
4,407.95;COP;26/08/22;26/08/22
4,374.45;COP;24/08/22;24/08/22
4,399.16;COP;23/08/22;23/08/22
4,400.25;COP;20/08/22;22/08/22
4,413.86;COP;19/08/22;19/08/22
4,316.47;COP;18/08/22;18/08/22
4,185.49;COP;13/08/22;16/08/22
4,231.45;COP;12/08/22;12/08/22
4,309.69;COP;10/08/22;10/08/22
4,307.09;COP;9/08/22;9/08/22
4,331.15;COP;4/08/22;4/08/22
4,313.30;COP;3/08/22;3/08/22
4,245.99;COP;2/08/22;2/08/22
4,375.51;COP;29/07/22;29/07/22
4,420.75;COP;28/07/22;28/07/22
4,461.63;COP;26/07/22;26/07/22
4,423.86;COP;23/07/22;25/07/22
4,303.34;COP;20/07/22;21/07/22
4,315.41;COP;19/07/22;19/07/22
4,558.05;COP;14/07/22;14/07/22
4,627.46;COP;13/07/22;13/07/22
4,388.27;COP;9/07/22;11/07/22
4,369.70;COP;8/07/22;8/07/22
4,348.68;COP;7/07/22;7/07/22
4,259.86;COP;6/07/22;6/07/22
4,127.47;COP;30/06/22;30/06/22
4,089.72;COP;29/06/22;29/06/22
4,026.52;COP;23/06/22;23/06/22
3,905.05;COP;18/06/22;21/06/22
3,979.30;COP;15/06/22;15/06/22
3,912.51;COP;11/06/22;13/06/22
3,771.63;COP;4/06/22;6/06/22
3,930.89;COP;27/05/22;27/05/22
4,054.71;COP;19/05/22;19/05/22
4,033.85;COP;18/05/22;18/05/22
4,109.71;COP;13/05/22;13/05/22
4,080.32;COP;12/05/22;12/05/22
4,086.71;COP;11/05/22;11/05/22
4,085.76;COP;10/05/22;10/05/22
4,086.08;COP;6/05/22;6/05/22
3,984.77;COP;29/04/22;29/04/22
3,947.63;COP;27/04/22;27/04/22
3,931.74;COP;26/04/22;26/04/22
3,759.54;COP;22/04/22;22/04/22
3,737.32;COP;14/04/22;18/04/22
3,777.41;COP;9/04/22;11/04/22
3,746.51;COP;7/04/22;7/04/22
3,774.79;COP;2/04/22;4/04/22
3,756.03;COP;1/04/22;1/04/22
3,785.70;COP;29/03/22;29/03/22
3,785.66;COP;26/03/22;28/03/22
3,765.67;COP;23/03/22;23/03/22
3,820.67;COP;19/03/22;22/03/22
3,816.43;COP;18/03/22;18/03/22
3,836.56;COP;16/03/22;16/03/22
3,800.85;COP;15/03/22;15/03/22
3,786.00;COP;11/03/22;11/03/22
3,746.43;COP;10/03/22;10/03/22
3,787.18;COP;9/03/22;9/03/22
3,806.11;COP;5/03/22;7/03/22
3,771.77;COP;4/03/22;4/03/22
3,901.62;COP;2/03/22;2/03/22
3,940.20;COP;25/02/22;25/02/22
3,913.79;COP;24/02/22;24/02/22
3,927.25;COP;19/02/22;22/02/22
3,953.26;COP;18/02/22;18/02/22
3,963.72;COP;17/02/22;17/02/22
3,939.31;COP;10/02/22;10/02/22
3,963.84;COP;8/02/22;8/02/22
3,962.68;COP;5/02/22;7/02/22
3,928.05;COP;3/02/22;3/02/22
3,923.61;COP;2/02/22;2/02/22
3,942.73;COP;1/02/22;1/02/22
3,944.04;COP;28/01/22;28/01/22
3,987.32;COP;26/01/22;26/01/22
3,977.51;COP;25/01/22;25/01/22
4,003.95;COP;20/01/22;20/01/22
3,950.40;COP;14/01/22;14/01/22
3,970.08;COP;13/01/22;13/01/22
4,011.65;COP;12/01/22;12/01/22
4,043.46;COP;8/01/22;11/01/22
4,084.11;COP;5/01/22;5/01/22
4,023.68;COP;30/12/21;30/12/21
4,004.00;COP;29/12/21;29/12/21
3,989.41;COP;28/12/21;28/12/21
3,990.27;COP;16/12/21;16/12/21
3,886.87;COP;14/12/21;14/12/21
3,944.00;COP;7/12/21;7/12/21
3,945.18;COP;3/12/21;3/12/21
4,004.54;COP;1/12/21;1/12/21
4,010.98;COP;30/11/21;30/11/21
4,008.13;COP;27/11/21;29/11/21
3,969.49;COP;25/11/21;26/11/21
3,943.43;COP;19/11/21;19/11/21
3,907.95;COP;18/11/21;18/11/21
3,898.84;COP;17/11/21;17/11/21
3,888.53;COP;13/11/21;16/11/21
3,876.86;COP;10/11/21;10/11/21
3,874.41;COP;9/11/21;9/11/21
3,881.76;COP;6/11/21;8/11/21
3,837.84;COP;4/11/21;4/11/21
3,784.44;COP;30/10/21;2/11/21
3,761.21;COP;28/10/21;28/10/21
3,783.30;COP;22/10/21;22/10/21
3,766.94;COP;20/10/21;20/10/21
3,772.49;COP;16/10/21;19/10/21
3,725.75;COP;14/10/21;14/10/21
3,738.48;COP;13/10/21;13/10/21
3,765.80;COP;9/10/21;12/10/21
3,772.44;COP;8/10/21;8/10/21
3,788.03;COP;7/10/21;7/10/21
3,796.30;COP;6/10/21;6/10/21
3,781.35;COP;2/10/21;4/10/21
3,834.68;COP;30/09/21;30/09/21
3,837.91;COP;28/09/21;28/09/21
3,844.88;COP;25/09/21;27/09/21
3,828.18;COP;18/09/21;20/09/21
3,825.36;COP;16/09/21;16/09/21
3,830.83;COP;15/09/21;15/09/21
3,835.27;COP;14/09/21;14/09/21
3,829.72;COP;10/09/21;10/09/21
3,790.04;COP;4/09/21;7/09/21
3,780.85;COP;3/09/21;3/09/21
3,774.00;COP;1/09/21;1/09/21
3,806.87;COP;31/08/21;31/08/21
3,867.73;COP;24/08/21;24/08/21
3,861.33;COP;19/08/21;19/08/21
3,868.41;COP;18/08/21;18/08/21
3,830.25;COP;14/08/21;17/08/21
3,911.36;COP;5/08/21;5/08/21
3,865.46;COP;3/08/21;3/08/21
3,902.18;COP;29/07/21;29/07/21
3,866.86;COP;23/07/21;23/07/21
3,842.97;COP;20/07/21;21/07/21
3,808.46;COP;17/07/21;19/07/21
3,796.07;COP;15/07/21;15/07/21
3,826.85;COP;14/07/21;14/07/21
3,829.46;COP;10/07/21;12/07/21
3,782.27;COP;7/07/21;7/07/21
3,713.17;COP;29/06/21;29/06/21
3,758.08;COP;22/06/21;22/06/21
3,753.77;COP;19/06/21;21/06/21
3,626.02;COP;12/06/21;15/06/21
3,588.41;COP;10/06/21;10/06/21
3,671.38;COP;2/06/21;2/06/21
3,729.02;COP;28/05/21;28/05/21
3,750.66;COP;25/05/21;25/05/21
3,721.57;COP;21/05/21;21/05/21
3,682.66;COP;20/05/21;20/05/21
